|  Data        |               A&B                | Chen COG(2001) | XuZ COG(2010)  |   Khorshidi    | Chutia ROG(2018) | Chutia optimization |
| ------------ |           -----------            |    --------    |    --------    |  ------------  |     --------     |    -------------    |
|      1       | [1.00,1.00,1.00,1.00;1.00,1.00]  |      0.5       | 0.888196601125 | 0.666666666667 |  0.408493649054  |    0.408493649054   |
|              |  [1.00,1.00,1.00,1.00;0.50,0.50] |                |                |                |                  |                     |
|      2       | [0.10,0.25,0.25,0.40;1.00,1.00]  |      0.8       |  0.9701857603  | 0.866711296423 |  0.701869148055  |    0.701869148055   |
|              |  [0.10,0.25,0.25,0.40;0.80,0.80] |                |                |                |                  |                     |
|      3       | [0.10,0.20,0.30,0.40;0.60,0.80]  |      None      |      None      |      None      |  0.782172403933  |    0.782172403933   |
|              |  [0.10,0.20,0.30,0.40;0.80,0.60] |                |                |                |                  |                     |
|      4       | [0.40,0.40,0.50,0.50;1.00,1.00]  |      0.49      | 0.71583592135  | 0.811047523504 |  0.540249536779  |    0.540249536779   |
|              |  [0.60,0.60,0.90,0.90;1.00,1.00] |                |                |                |                  |                     |
|      5       | [0.40,0.40,0.50,0.50;1.00,1.00]  |      0.49      | 0.71583592135  | 0.91950155281  |  0.542051077093  |    0.542051077093   |
|              |  [0.70,0.70,0.80,0.80;1.00,1.00] |                |                |                |                  |                     |
|      6       | [0.00,0.23,0.23,0.45;0.23,0.23]  |     0.3025     | 0.573753882025 | 0.818878493823 |  0.238250467139  |    0.238250467139   |
|              |  [0.45,0.68,0.68,0.90;0.23,0.23] |                |                |                |                  |                     |
|      7       | [0.00,0.00,0.00,0.00;1.00,1.00]  |      0.0       |  0.0527864045  |  0.105572809   |       0.0        |         0.0         |
|              |  [1.00,1.00,1.00,1.00;1.00,1.00] |                |                |                |                  |                     |